TEAM,H/A,TEAM_PTS,TEAM_SCORE,SEP,OPP_SCORE,OPP_PTS,OPPONENT,RESULT,DATE
Bristol City FC,A,3,4,-,1,4,Sheffield United FC,W,'08/09/2025
Bristol City FC,H,4,0,-,0,4,Charlton Athletic FC,D,'08/16/2025
Bristol City FC,A,5,1,-,1,5,Derby County FC,D,'08/22/2025
Bristol City FC,H,8,4,-,2,9,Hull City AFC,W,'08/30/2025
Bristol City FC,A,11,3,-,0,12,Sheffield Wednesday FC,W,'09/13/2025
Bristol City FC,H,11,1,-,3,13,Oxford United FC,L,'09/21/2025
Bristol City FC,A,12,0,-,0,13,Preston North End FC,D,'09/27/2025
Bristol City FC,H,13,1,-,1,14,Ipswich Town FC,D,'09/30/2025
Bristol City FC,H,13,1,-,2,15,Queens Park Rangers FC,L,'10/04/2025
Bristol City FC,A,16,1,-,0,16,Norwich City FC,W,'10/18/2025
Bristol City FC,H,19,3,-,1,19,Southampton FC,W,'10/21/2025
Bristol City FC,H,22,1,-,0,20,Birmingham City FC,W,'10/25/2025
Bristol City FC,A,22,1,-,5,21,Stoke City FC,L,'11/01/2025
Bristol City FC,H,22,0,-,1,21,Blackburn Rovers FC,L,'11/04/2025
Bristol City FC,A,23,1,-,1,22,Watford FC,D,'11/07/2025
Bristol City FC,H,26,3,-,0,25,Swansea City AFC,W,'11/22/2025
Bristol City FC,A,26,0,-,2,25,Wrexham AFC,L,'11/26/2025
Bristol City FC,A,29,1,-,0,26,Portsmouth FC,W,'11/29/2025
Bristol City FC,H,29,0,-,1,26,Millwall FC,L,'12/06/2025
Bristol City FC,H,30,2,-,2,28,Leicester City FC,D,'12/10/2025
Bristol City FC,A,30,0,-,1,28,Coventry City FC,L,'12/13/2025
Bristol City FC,H,33,2,-,0,30,Middlesbrough FC,W,'12/20/2025
Bristol City FC,A,36,2,-,1,32,West Bromwich Albion FC,W,'12/26/2025
Bristol City FC,A,36,1,-,2,33,Millwall FC,L,'12/29/2025
Bristol City FC,H,39,5,-,0,38,Portsmouth FC,W,'01/01/2026
Bristol City FC,H,39,0,-,2,38,Preston North End FC,L,'01/04/2026
Bristol City FC,A,40,0,-,0,38,Oxford United FC,D,'01/17/2026
Bristol City FC,A,40,0,-,2,38,Ipswich Town FC,L,'01/20/2026
Bristol City FC,H,43,2,-,0,40,Sheffield Wednesday FC,W,'01/24/2026
Bristol City FC,H,43,0,-,5,40,Derby County FC,L,'01/30/2026
Bristol City FC,A,46,3,-,2,43,Hull City AFC,W,'02/07/2026
Bristol City FC,H,47,2,-,2,45,Wrexham AFC,D,'02/17/2026
Bristol City FC,A,47,0,-,1,45,Swansea City AFC,L,'02/21/2026
Bristol City FC,A,50,2,-,1,47,Blackburn Rovers FC,W,'02/24/2026
Bristol City FC,H,50,1,-,2,48,Watford FC,L,'02/27/2026
Bristol City FC,H,50,0,-,2,48,Coventry City FC,L,'03/07/2026
Bristol City FC,A,50,0,-,2,48,Leicester City FC,L,'03/10/2026
Bristol City FC,A,50,-,-,-,48,Middlesbrough FC,,'03/14/2026
Bristol City FC,H,50,-,-,-,48,West Bromwich Albion FC,,'03/21/2026
Bristol City FC,A,50,-,-,-,48,Charlton Athletic FC,,'04/03/2026
Bristol City FC,H,50,-,-,-,48,Sheffield United FC,,'04/06/2026
Bristol City FC,A,50,-,-,-,48,Queens Park Rangers FC,,'04/11/2026
Bristol City FC,H,50,-,-,-,48,Norwich City FC,,'04/18/2026
Bristol City FC,A,50,-,-,-,48,Southampton FC,,'04/21/2026
Bristol City FC,A,50,-,-,-,48,Birmingham City FC,,'04/25/2026
Bristol City FC,H,50,-,-,-,48,Stoke City FC,,'05/02/2026
