TEAM,H/A,TEAM_PTS,TEAM_SCORE,SEP,OPP_SCORE,OPP_PTS,OPPONENT,RESULT,DATE
Charlton Athletic FC,H,3,1,-,0,1,Watford FC,W,'08/09/2025
Charlton Athletic FC,A,4,0,-,0,1,Bristol City FC,D,'08/16/2025
Charlton Athletic FC,H,4,0,-,1,1,Leicester City FC,L,'08/23/2025
Charlton Athletic FC,A,4,1,-,3,2,Queens Park Rangers FC,L,'08/30/2025
Charlton Athletic FC,H,5,1,-,1,3,Millwall FC,D,'09/13/2025
Charlton Athletic FC,A,8,1,-,0,4,Sheffield United FC,W,'09/20/2025
Charlton Athletic FC,H,11,3,-,0,7,Blackburn Rovers FC,W,'09/27/2025
Charlton Athletic FC,A,12,1,-,1,8,Derby County FC,D,'09/30/2025
Charlton Athletic FC,A,12,0,-,2,8,Preston North End FC,L,'10/04/2025
Charlton Athletic FC,H,15,2,-,1,10,Sheffield Wednesday FC,W,'10/18/2025
Charlton Athletic FC,A,18,3,-,0,13,Ipswich Town FC,W,'10/21/2025
Charlton Athletic FC,A,19,1,-,1,14,Hull City AFC,D,'10/25/2025
Charlton Athletic FC,H,20,1,-,1,15,Swansea City AFC,D,'11/01/2025
Charlton Athletic FC,H,23,1,-,0,16,West Bromwich Albion FC,W,'11/04/2025
Charlton Athletic FC,A,23,0,-,1,16,Wrexham AFC,L,'11/08/2025
Charlton Athletic FC,H,23,1,-,5,17,Southampton FC,L,'11/22/2025
Charlton Athletic FC,A,23,0,-,3,17,Stoke City FC,L,'11/25/2025
Charlton Athletic FC,A,23,1,-,3,18,Coventry City FC,L,'11/29/2025
Charlton Athletic FC,H,23,0,-,0,18,Portsmouth FC,,'12/06/2025
Charlton Athletic FC,H,23,1,-,2,19,Middlesbrough FC,L,'12/09/2025
Charlton Athletic FC,A,24,1,-,1,20,Birmingham City FC,D,'12/13/2025
Charlton Athletic FC,H,27,1,-,0,21,Oxford United FC,W,'12/20/2025
Charlton Athletic FC,A,27,0,-,1,21,Norwich City FC,L,'12/26/2025
Charlton Athletic FC,A,27,1,-,2,22,Portsmouth FC,L,'12/29/2025
Charlton Athletic FC,H,28,1,-,1,23,Coventry City FC,D,'01/01/2026
Charlton Athletic FC,A,29,2,-,2,25,Blackburn Rovers FC,D,'01/04/2026
Charlton Athletic FC,H,32,1,-,0,26,Sheffield United FC,W,'01/17/2026
Charlton Athletic FC,H,32,1,-,2,27,Derby County FC,L,'01/20/2026
Charlton Athletic FC,A,32,0,-,4,27,Millwall FC,L,'01/24/2026
Charlton Athletic FC,A,35,2,-,0,29,Leicester City FC,W,'01/31/2026
Charlton Athletic FC,H,35,-,-,-,29,Queens Park Rangers FC,,'02/06/2026
Charlton Athletic FC,H,35,-,-,-,29,Stoke City FC,,'02/11/2026
Charlton Athletic FC,A,35,-,-,-,29,Southampton FC,,'02/21/2026
Charlton Athletic FC,A,35,-,-,-,29,West Bromwich Albion FC,,'02/24/2026
Charlton Athletic FC,H,35,-,-,-,29,Wrexham AFC,,'02/28/2026
Charlton Athletic FC,H,35,-,-,-,29,Birmingham City FC,,'03/07/2026
Charlton Athletic FC,A,35,-,-,-,29,Middlesbrough FC,,'03/11/2026
Charlton Athletic FC,A,35,-,-,-,29,Oxford United FC,,'03/14/2026
Charlton Athletic FC,H,35,-,-,-,29,Norwich City FC,,'03/21/2026
Charlton Athletic FC,H,35,-,-,-,29,Bristol City FC,,'04/03/2026
Charlton Athletic FC,A,35,-,-,-,29,Watford FC,,'04/06/2026
Charlton Athletic FC,H,35,-,-,-,29,Preston North End FC,,'04/11/2026
Charlton Athletic FC,A,35,-,-,-,29,Sheffield Wednesday FC,,'04/18/2026
Charlton Athletic FC,H,35,-,-,-,29,Ipswich Town FC,,'04/22/2026
Charlton Athletic FC,H,35,-,-,-,29,Hull City AFC,,'04/25/2026
Charlton Athletic FC,A,35,-,-,-,29,Swansea City AFC,,'05/02/2026
